t / s;&j / arb.u;&w / 1/s;t / s;M / arb.u
124,08;0,02;0,1;124,08;-3,071
124,13;0,02;0,2;124,13;-3,071
124,18;0,03;0,2;124,18;-3,071
124,23;0,04;0,1;124,23;-3,071
124,28;0,05;0,1;124,28;-3,071
124,33;0,05;0,1;124,33;-3,071
124,38;0,06;0,1;124,38;-3,071
124,43;0,06;0,1;124,43;-3,071
124,48;0,06;0;124,48;-3,071
124,53;0,06;0;124,53;-3,071
124,58;0,06;0;124,58;-3,071
124,63;0,06;0;124,63;-3,071
124,68;0,06;0;124,68;-3,071
124,73;0,06;-0,1;124,73;-3,071
124,78;0,06;-0,1;124,78;-3,071
124,83;0,05;-0,1;124,83;-3,071
124,88;0,04;-0,2;124,88;-3,071
124,93;0,03;-0,1;124,93;-3,071
124,98;0,03;-0,2;124,98;-3,071
125,03;0,02;-0,2;125,03;-3,071
125,08;0,01;-0,2;125,08;-3,071
125,13;0;-0,2;125,13;-3,071
125,18;0;-0,1;125,18;-3,071
125,23;-0,01;-0,1;125,23;-3,071
125,28;-0,02;-0,1;125,28;-3,071
125,33;-0,02;-0,1;125,33;-3,071
125,38;-0,03;-0,1;125,38;-3,071
125,43;-0,03;-0,1;125,43;-3,071
125,48;-0,03;0;125,48;-3,071
125,53;-0,03;0;125,53;-3,071
125,58;-0,03;0;125,58;-3,071
125,63;-0,03;0;125,63;-3,071
125,68;-0,03;0;125,68;-3,071
125,73;-0,03;0,1;125,73;-3,071
125,78;-0,02;0,1;125,78;-3,071
125,83;-0,02;0,1;125,83;-3,071
125,88;-0,01;0,1;125,88;-3,071
125,93;-0,01;0,1;125,93;-3,071
125,98;0;0,1;125,98;-3,071
126,03;0,01;0,1;126,03;-3,071
126,08;0,01;0,1;126,08;-3,071
126,13;0,02;0,1;126,13;-3,071
126,18;0,03;0,1;126,18;-3,071
126,23;0,03;0,1;126,23;-3,071
126,28;0,04;0,1;126,28;-3,071
126,33;0,04;0,1;126,33;-3,071
126,38;0,05;0,1;126,38;-3,071
126,43;0,05;0;126,43;-3,071
126,48;0,05;0;126,48;-3,071
126,53;0,05;0;126,53;-3,071
126,58;0,05;0;126,58;-3,071
126,63;0,05;0;126,63;-3,071
126,68;0,05;0;126,68;-3,071
126,73;0,05;-0,1;126,73;-3,071
126,78;0,04;-0,1;126,78;-3,071
126,83;0,04;-0,1;126,83;-3,071
126,88;0,04;-0,1;126,88;-3,071
126,93;0,03;-0,1;126,93;-3,071
126,98;0,02;-0,1;126,98;-3,071
127,03;0,02;-0,1;127,03;-3,071
127,08;0,01;-0,1;127,08;-3,071
127,13;0,01;-0,1;127,13;-3,071
127,18;0;-0,1;127,18;-3,071
127,23;0;-0,1;127,23;-3,071
127,28;-0,01;-0,1;127,28;-3,071
127,33;-0,01;-0,1;127,33;-3,071
127,38;-0,01;0;127,38;-3,071
127,43;-0,02;0;127,43;-3,071
127,48;-0,02;0;127,48;-3,071
127,53;-0,02;0;127,53;-3,071
127,58;-0,02;0;127,58;-3,071
127,63;-0,02;0;127,63;-3,071
127,68;-0,02;0;127,68;-3,071
127,73;-0,02;0,1;127,73;-3,071
127,78;-0,01;0,1;127,78;-3,071
127,83;-0,01;0,1;127,83;-3,071
127,88;-0,01;0,1;127,88;-3,071
127,93;0;0,1;127,93;-3,071
127,98;0;0,1;127,98;-3,071
128,03;0,01;0,1;128,03;-3,071
128,08;0,01;0,1;128,08;-3,071
128,13;0,02;0,1;128,13;-3,071
128,18;0,02;0,1;128,18;-3,071
128,23;0,03;0,1;128,23;-3,071
128,28;0,03;0,1;128,28;-3,071
128,33;0,03;0,1;128,33;-3,071
128,38;0,04;0;128,38;-3,071
128,43;0,04;0;128,43;-3,071
128,48;0,04;0;128,48;-3,071
128,53;0,04;0;128,53;-3,071
128,58;0,04;0;128,58;-3,071
128,63;0,04;0;128,63;-3,071
128,68;0,04;0;128,68;-3,071
128,73;0,04;0;128,73;-3,071
128,78;0,04;-0,1;128,78;-3,071
128,83;0,03;-0,1;128,83;-3,071
128,88;0,03;-0,1;128,88;-3,071
128,93;0,02;-0,1;128,93;-3,071
128,98;0,02;-0,1;128,98;-3,071
129,03;0,02;-0,1;129,03;-3,071
129,08;0,01;-0,1;129,08;-3,071
129,13;0,01;-0,1;129,13;-3,071
129,18;0;-0,1;129,18;-3,071
129,23;0;-0,1;129,23;-3,071
129,28;0;0;129,28;-3,071
129,33;0;0;129,33;-3,071
129,38;-0,01;0;129,38;-3,071
129,43;-0,01;0;129,43;-3,071
129,48;-0,01;0;129,48;-3,071
129,53;-0,01;0;129,53;-3,071
129,58;-0,01;0;129,58;-3,071
129,63;-0,01;0;129,63;-3,071
129,68;-0,01;0;129,68;-3,071
129,73;-0,01;0;129,73;-3,071
129,78;-0,01;0,1;129,78;-3,071
129,83;0;0,1;129,83;-3,071
129,88;0;0,1;129,88;-3,071
129,93;0;0,1;129,93;-3,071
129,98;0,01;0,1;129,98;-3,071
130,03;0,01;0,1;130,03;-3,071
130,08;0,01;0,1;130,08;-3,071
130,13;0,02;0,1;130,13;-3,071
130,18;0,02;0,1;130,18;-3,071
130,23;0,02;0;130,23;-3,071
130,28;0,02;0;130,28;-3,071
130,33;0,03;0;130,33;-3,071
130,38;0,03;0;130,38;-3,071
130,43;0,03;0;130,43;-3,071
130,48;0,03;0;130,48;-3,071
130,53;0,03;0;130,53;-3,071
130,58;0,03;0;130,58;-3,071
130,63;0,03;0;130,63;-3,071
130,68;0,03;0;130,68;-3,071
130,73;0,03;0;130,73;-3,071
130,78;0,03;0;130,78;-3,071
130,83;0,03;0;130,83;-3,071
130,88;0,02;0;130,88;-3,071
130,93;0,02;0;130,93;-3,071
130,98;0,02;-0,1;130,98;-3,071
131,03;0,02;0;131,03;-3,071
131,08;0,01;-0,1;131,08;-3,071
131,13;0,01;-0,1;131,13;-3,071
131,18;0,01;0;131,18;-3,071
131,23;0,01;0;131,23;-3,071
131,28;0;0;131,28;-3,071
131,33;0;0;131,33;-3,071
131,38;0;0;131,38;-3,071
131,43;0;0;131,43;-3,071
131,48;0;0;131,48;-3,071
131,53;0;0;131,53;-3,071
131,58;0;0;131,58;-3,071
131,63;0;0;131,63;-3,071
131,68;0;0;131,68;-3,071
131,73;0;0;131,73;-3,071
131,78;0;0;131,78;-3,071
131,83;0;0;131,83;-3,071
131,88;0;0;131,88;-3,071
131,93;0,01;0;131,93;-3,071
131,98;0,01;0;131,98;-3,071
132,03;0,01;0;132,03;-3,071
132,08;0,01;0;132,08;-3,071
132,13;0,01;0;132,13;-3,071
132,18;0,01;0;132,18;-3,071
132,23;0,02;0;132,23;-3,071
132,28;0,02;0;132,28;-3,071
132,33;0,02;0;132,33;-3,071
132,38;0,02;0;132,38;-3,071
132,43;0,02;0;132,43;-3,071
132,48;0,02;0;132,48;-3,071
132,53;0,02;0;132,53;-3,071
132,58;0,02;0;132,58;-3,071
132,63;0,02;0;132,63;-3,071
132,68;0,02;0;132,68;-3,071
132,73;0,02;0;132,73;-3,071
132,78;0,02;0;132,78;-3,071
132,83;0,02;0;132,83;-3,071
132,88;0,02;0;132,88;-3,071
132,93;0,02;0;132,93;-3,071
132,98;0,02;0;132,98;-3,071
133,03;0,02;0;133,03;-3,071
133,08;0,01;0;133,08;-3,071
133,13;0,01;0;133,13;-3,071
133,18;0,01;0;133,18;-3,071
133,23;0,01;0;133,23;-3,071
133,28;0,01;0;133,28;-3,071
133,33;0,01;0;133,33;-3,071
133,38;0,01;0;133,38;-3,071
133,43;0,01;0;133,43;-3,071
133,48;0,01;0;133,48;-3,071
133,53;0,01;0;133,53;-3,071
133,58;0,01;0;133,58;-3,071
133,63;0,01;0;133,63;-3,071
133,68;0,01;0;133,68;-3,071
133,73;0,01;0;133,73;-3,071
133,78;0,01;0;133,78;-3,071
133,83;0,01;0;133,83;-3,071
133,88;0,01;0;133,88;-3,071
133,93;0,01;0;133,93;-3,071
133,98;0,01;0;133,98;-3,071
134,03;0,01;0;134,03;-3,071
134,08;0,01;0;134,08;-3,071
134,13;0,01;0;134,13;-3,071
134,18;0,01;0;134,18;-3,071
134,23;0,01;0;134,23;-3,071
134,28;0,01;0;134,28;-3,071
134,33;0,01;0;134,33;-3,071
134,38;0,01;0;134,38;-3,071
134,43;0,01;0;134,43;-3,071
134,48;0,01;0;134,48;-3,071
134,53;0,01;0;134,53;-3,071
134,58;0,01;0;134,58;-3,071
134,63;0,01;0;134,63;-3,071
134,68;0,01;0;134,68;-3,071
134,73;0,02;0;134,73;-3,071
134,78;0,01;0;134,78;-3,071
134,83;0,01;0;134,83;-3,071
134,88;0,01;0;134,88;-3,071
134,93;0,01;0;134,93;-3,071
134,98;0,01;0;134,98;-3,071
135,03;0,01;0;135,03;-3,071
135,08;0,01;0;135,08;-3,071
135,13;0,01;0;135,13;-3,071
135,18;0,01;0;135,18;-3,071
135,23;0,01;0;135,23;-3,071
135,28;0,01;0;135,28;-3,071
135,33;0,01;0;135,33;-3,071
135,38;0,01;0;135,38;-3,071
135,43;0,01;0;135,43;-3,071
135,48;0,01;0;135,48;-3,071
135,53;0,01;0;135,53;-3,071
135,58;0,01;0;135,58;-3,071
135,63;0,01;0;135,63;-3,071
135,68;0,01;0;135,68;-3,071
135,73;0,01;0;135,73;-3,071
135,78;0,01;0;135,78;-3,071
135,83;0,01;0;135,83;-3,071
135,88;0,01;0;135,88;-3,071
135,93;0,01;0;135,93;-3,071
135,98;0,01;0;135,98;-3,071
136,03;0,01;0;136,03;-3,071
136,08;0,01;0;136,08;-3,071
136,13;0,01;0;136,13;-3,071
136,18;0,01;0;136,18;-3,071
136,23;0,01;0;136,23;-3,071
136,28;0,01;0;136,28;-3,071
136,33;0,01;0;136,33;-3,071
136,38;0,01;0;136,38;-3,071
136,43;0,01;0;136,43;-3,071
136,48;0,01;0;136,48;-3,071
136,53;0,01;0;136,53;-3,071
136,58;0,01;0;136,58;-3,071
136,63;0,01;0;136,63;-3,071
136,68;0,01;0;136,68;-3,071
136,73;0,01;0;136,73;-3,071
136,78;0,01;0;136,78;-3,071
136,83;0,01;0;136,83;-3,071
136,88;0,01;0;136,88;-3,071
136,93;0,01;0;136,93;-3,071
136,98;0,01;0;136,98;-3,071
137,03;0,01;0;137,03;-3,071
137,08;0,01;0;137,08;-3,071
137,13;0,01;0;137,13;-3,071
137,18;0,01;0;137,18;-3,071
137,23;0,01;0;137,23;-3,071
137,28;0,01;0;137,28;-3,071
137,33;0,01;0;137,33;-3,071
137,38;0,01;0;137,38;-3,071
137,43;0,01;0;137,43;-3,071
137,48;0,01;0;137,48;-3,071
137,53;0,01;0;137,53;-3,071
137,58;0,01;0;137,58;-3,071
137,63;0,01;0;137,63;-3,071
137,68;0,01;0;137,68;-3,071
137,73;0,01;0;137,73;-3,071
137,78;0,01;0;137,78;-3,071
137,83;0,01;0;137,83;-3,071
137,88;0,01;0;137,88;-3,071
137,93;0,01;0;137,93;-3,071
137,98;0,01;0;137,98;-3,071
138,03;0,01;0;138,03;-3,071
138,08;0,01;0;138,08;-3,071
138,13;0,01;0;138,13;-3,071
138,18;0,01;0;138,18;-3,071
138,23;0,01;0;138,23;-3,071
138,28;0,01;0;138,28;-3,071
138,33;0,01;0;138,33;-3,071
138,38;0,01;0;138,38;-3,071
138,43;0,01;0;138,43;-3,071
138,48;0,01;0;138,48;-3,071
138,53;0,01;0;138,53;-3,071
138,58;0,01;0;138,58;-3,071
138,63;0,01;0;138,63;-3,071
138,68;0,01;0;138,68;-3,071
138,73;0,01;0;138,73;-3,071
138,78;0,01;0;138,78;-3,071
138,83;0,01;0;138,83;-3,071
138,88;0,01;0;138,88;-3,071
138,93;0,01;0;138,93;-3,071
138,98;0,01;0;138,98;-3,071
139,03;0,01;0;139,03;-3,071
139,08;0,01;0;139,08;-3,071
139,13;0,01;0;139,13;-3,071
139,18;0,01;0;139,18;-3,071
139,23;0,01;0;139,23;-3,071
139,28;0,01;0;139,28;-3,071
139,33;0,01;0;139,33;-3,071
139,38;0,01;0;139,38;-3,071
139,43;0,01;0;139,43;-3,071
139,48;0,01;0;139,48;-3,071
139,53;0,01;0;139,53;-3,071
139,58;0,01;0;139,58;-3,071
139,63;0,01;0;139,63;-3,071
139,68;0,01;0;139,68;-3,071
139,73;0,01;0;139,73;-3,071
139,78;0,01;0;139,78;-3,071
139,83;0,01;0;139,83;-3,071
139,88;0,01;0;139,88;-3,071
139,93;0,01;0;139,93;-3,071
139,98;0,01;0;139,98;-3,071
140,03;0,01;0;140,03;-3,071
140,08;0,01;0;140,08;-3,071
140,13;0,01;0;140,13;-3,071
140,18;0,01;0;140,18;-3,071
140,23;0,01;0;140,23;-3,071
140,28;0,01;0;140,28;-3,071
140,33;0,01;0;140,33;-3,071
140,38;0,01;0;140,38;-3,071
140,43;0,01;0;140,43;-3,071
140,48;0,01;0;140,48;-3,071
140,53;0,01;0;140,53;-3,071
140,58;0,01;0;140,58;-3,071
140,63;0,01;0;140,63;-3,071
140,68;0,01;0;140,68;-3,071
140,73;0,01;0;140,73;-3,071
140,78;0,01;0;140,78;-3,071
140,83;0,01;0;140,83;-3,071
140,88;0,01;0;140,88;-3,071
140,93;0,01;0;140,93;-3,071
140,98;0,01;0;140,98;-3,071
141,03;0,01;0;141,03;-3,071
141,08;0,01;0;141,08;-3,071
141,13;0,01;0;141,13;-3,071
141,18;0,01;0;141,18;-3,071
141,23;0,01;0;141,23;-3,071
141,28;0,01;0;141,28;-3,071
141,33;0,01;0;141,33;-3,071
141,38;0,01;0;141,38;-3,071
141,43;0,01;0;141,43;-3,071
141,48;0,01;0;141,48;-3,071
141,53;0,01;0;141,53;-3,071
141,58;0,01;0;141,58;-3,071
141,63;0,01;0;141,63;-3,071
141,68;0,01;0;141,68;-3,071
141,73;0,01;0;141,73;-3,071
141,78;0,01;0;141,78;-3,071
141,83;0,01;0;141,83;-3,071
141,88;0,01;0;141,88;-3,071
141,93;0,01;0;141,93;-3,071
141,98;0,01;0;141,98;-3,071
142,03;0,01;0;142,03;-3,071
142,08;0,01;0;142,08;-3,071
142,13;0,01;0;142,13;-3,071
142,18;0,01;0;142,18;-3,071
142,23;0,01;0;142,23;-3,071
142,28;0,01;0;142,28;-3,071
142,33;0,01;0;142,33;-3,071
142,38;0,01;0;142,38;-3,071
142,43;0,01;0;142,43;-3,071
142,48;0,01;0;142,48;-3,071
142,53;0,01;0;142,53;-3,071
142,58;0,01;0;142,58;-3,071
142,63;0,01;0;142,63;-3,071
142,68;0,01;0;142,68;-3,071
142,73;0,01;0;142,73;-3,071
142,78;0,01;0;142,78;-3,071
142,83;0,01;0;142,83;-3,071
142,88;0,01;0;142,88;-3,071
142,93;0,01;0;142,93;-3,071
142,98;0,01;0;142,98;-3,071
143,03;0,01;0;143,03;-3,071
143,08;0,01;0;143,08;-3,071
143,13;0,01;0;143,13;-3,071
143,18;0,01;0;143,18;-3,071
143,23;0,01;0;143,23;-3,071
143,28;0,01;0;143,28;-3,071
143,33;0,01;0;143,33;-3,071
143,38;0,01;0;143,38;-3,071
143,43;0,01;0;143,43;-3,071
143,48;0,01;0;143,48;-3,071
143,53;0,01;0;143,53;-3,071
143,58;0,01;0;143,58;-3,071
143,63;0,01;0;143,63;-3,071
143,68;0,01;0;143,68;-3,071
143,73;0,01;0;143,73;-3,071
143,78;0,01;0;143,78;-3,071
143,83;0,01;0;143,83;-3,071
143,88;0,01;0;143,88;-3,071
143,93;0,01;0;143,93;-3,071
143,98;0,01;0;143,98;-3,071
144,03;0,01;0;144,03;-3,071
144,08;0,01;0;144,08;-3,071
144,13;0,01;0;144,13;-3,071
144,18;0,01;0;144,18;-3,071
144,23;0,01;0;144,23;-3,071
144,28;0,01;0;144,28;-3,071
144,33;0,01;0;144,33;-3,071
144,38;0,01;0;144,38;-3,071
144,43;0,01;0;144,43;-3,071
144,48;0,01;0;144,48;-3,071
144,53;0,01;0;144,53;-3,071
144,58;0,01;0;144,58;-3,071
144,63;0,01;0;144,63;-3,071
144,68;0,01;0;144,68;-3,071
144,73;0,01;0;144,73;-3,071
144,78;0,01;0;144,78;-3,071
144,83;0,01;0;144,83;-3,071
144,88;0,01;0;144,88;-3,071
144,93;0,01;0;144,93;-3,071
144,98;0,01;0;144,98;-3,071
145,03;0,01;0;145,03;-3,071
145,08;0,01;0;145,08;-3,071
145,13;0,01;0;145,13;-3,071
145,18;0,01;0;145,18;-3,071
145,23;0,01;0;145,23;-3,071
145,28;0,01;0;145,28;-3,071
145,33;0,01;0;145,33;-3,071
145,38;0,01;0;145,38;-3,071
145,43;0,01;0;145,43;-3,071
145,48;0,01;0;145,48;-3,071
145,53;0,01;0;145,53;-3,071
145,58;0,01;0;145,58;-3,071
145,63;0,01;0;145,63;-3,071
145,68;0,01;0;145,68;-3,071
145,73;0,01;0;145,73;-3,071
145,78;0,01;0;145,78;-3,071
145,83;0,01;0;145,83;-3,071
145,88;0,01;0;145,88;-3,071
145,93;0,01;0;145,93;-3,071
145,98;0,01;0;145,98;-3,071
146,03;0,01;0;146,03;-3,071
146,08;0,01;0;146,08;-3,071
146,13;0,01;0;146,13;-3,071
146,18;0,01;0;146,18;-3,071
146,23;0,01;0;146,23;-3,071
146,28;0,01;0;146,28;-3,071
146,33;0,01;0;146,33;-3,071
146,38;0,01;0;146,38;-3,071
146,43;0,01;0;146,43;-3,071
146,48;0,01;0;146,48;-3,071
146,53;0,01;0;146,53;-3,071
146,58;0,01;0;146,58;-3,071
146,63;0,01;0;146,63;-3,071
146,68;0,01;0;146,68;-3,071
146,73;0,01;0;146,73;-3,071
146,78;0,01;0;146,78;-3,071
146,83;0,01;0;146,83;-3,071
146,88;0,01;0;146,88;-3,071
146,93;0,01;0;146,93;-3,071
146,98;0,01;0;146,98;-3,071
147,03;0,01;0;147,03;-3,071
147,08;0,01;0;147,08;-3,071
147,13;0,01;0;147,13;-3,071
147,18;0,01;0;147,18;-3,071
147,23;0,01;0;147,23;-3,071
147,28;0,01;0;147,28;-3,071
147,33;0,01;0;147,33;-3,071
147,38;0,01;0;147,38;-3,071
147,43;0,01;0;147,43;-3,071
147,48;0,01;0;147,48;-3,071
147,53;0,01;0;147,53;-3,071
147,58;0,01;0;147,58;-3,071
147,63;0,01;0;147,63;-3,071
147,68;0,01;0;147,68;-3,071
147,73;0,01;0;147,73;-3,071
147,78;0,01;0;147,78;-3,071
147,83;0,01;0;147,83;-3,071
147,88;0,01;0;147,88;-3,071
147,93;0,01;0;147,93;-3,071
147,98;0,01;0;147,98;-3,071
148,03;0,01;0;148,03;-3,071
148,08;0,01;0;148,08;-3,071
148,13;0,01;0;148,13;-3,071
148,18;0,01;0;148,18;-3,071
148,23;0,01;0;148,23;-3,071
148,28;0,01;0;148,28;-3,071
148,33;0,01;0;148,33;-3,071
148,38;0,01;0;148,38;-3,071
148,43;0,01;0;148,43;-3,071
148,48;0,01;0;148,48;-3,071
148,53;0,01;0;148,53;-3,071
148,58;0,01;0;148,58;-3,071
148,63;0,01;0;148,63;-3,071
148,68;0,01;0;148,68;-3,071
148,73;0,01;0;148,73;-3,071
148,78;0,01;0;148,78;-3,071
148,83;0,01;0;148,83;-3,071
148,88;0,01;0;148,88;-3,071
148,93;0,01;0;148,93;-3,071
148,98;0,01;0;148,98;-3,071
149,03;0,01;0;149,03;-3,071
149,08;0,01;0;149,08;-3,071
149,13;0,01;0;149,13;-3,071
149,18;0,01;0;149,18;-3,071
149,23;0,01;0;149,23;-3,071
149,28;0,01;0;149,28;-3,071
149,33;0,01;0;149,33;-3,071
149,38;0,01;0;149,38;-3,071
149,43;0,01;0;149,43;-3,071
149,48;0,01;0;149,48;-3,071
149,53;0,01;0;149,53;-3,071
149,58;0,01;0;149,58;-3,071
149,63;0,01;0;149,63;-3,071
149,68;0,01;0;149,68;-3,071
149,73;0,01;0;149,73;-3,071
149,78;0,01;0;149,78;-3,071
149,83;0,01;0;149,83;-3,071
149,88;0,01;0;149,88;-3,071
149,93;0,01;0;149,93;-3,071
149,98;0,01;0;149,98;-3,071
150,03;0,01;0;150,03;-3,071
150,08;0,01;0;150,08;-3,071
150,13;0,01;0;150,13;-3,071
150,18;0,01;0;150,18;-3,071
150,23;0,01;0;150,23;-3,071
150,28;0,01;0;150,28;-3,071
150,33;0,01;0;150,33;-3,071
150,38;0,01;0;150,38;-3,071
150,43;0,01;0;150,43;-3,071
150,48;0,01;0;150,48;-3,071
150,53;0,01;0;150,53;-3,071
150,58;0,01;0;150,58;-3,071
150,63;0,01;0;150,63;-3,071
150,68;0,01;0;150,68;-3,071
150,73;0,01;0;150,73;-3,071
150,78;0,01;0;150,78;-3,071
150,83;0,01;0;150,83;-3,071
150,88;0,01;0;150,88;-3,071
150,93;0,01;0;150,93;-3,071
150,98;0,01;0;150,98;-3,071
151,03;0,01;0;151,03;-3,071
151,08;0,01;0;151,08;-3,071
151,13;0,01;0;151,13;-3,071
151,18;0,01;0;151,18;-3,071
151,23;0,01;0;151,23;-3,071
151,28;0,01;0;151,28;-3,071
151,33;0,01;0;151,33;-3,071
151,38;0,01;0;151,38;-3,071
151,43;0,01;0;151,43;-3,071
151,48;0,01;0;151,48;-3,071
151,53;0,01;0;151,53;-3,071
151,58;0,01;0;151,58;-3,071
151,63;0,01;0;151,63;-3,071
151,68;0,01;0;151,68;-3,071
151,73;0,01;0;151,73;-3,071
151,78;0,01;0;151,78;-3,071
151,83;0,01;0;151,83;-3,071
151,88;0,01;0;151,88;-3,071
151,93;0,01;0;151,93;-3,071
151,98;0,01;0;151,98;-3,071
152,03;0,01;0;152,03;-3,071
152,08;0,01;0;152,08;-3,071
152,13;0,01;0;152,13;-3,071
152,18;0,01;0;152,18;-3,071
152,23;0,01;0;152,23;-3,071
152,28;0,01;0;152,28;-3,071
152,33;0,01;0;152,33;-3,071
152,38;0,01;0;152,38;-3,071
152,43;0,01;0;152,43;-3,071
152,48;0,01;0;152,48;-3,071
152,53;0,01;0;152,53;-3,071
152,58;0,01;0;152,58;-3,071
152,63;0,01;0;152,63;-3,071
152,68;0,01;0;152,68;-3,071
152,73;0,01;0;152,73;-3,071
152,78;0,01;0;152,78;-3,071
152,83;0,01;0;152,83;-3,071
152,88;0,01;0;152,88;-3,071
152,93;0,01;0;152,93;-3,071
152,98;0,01;0;152,98;-3,071
153,03;0,01;0;153,03;-3,071
153,08;0,01;0;153,08;-3,071
153,13;0,01;0;153,13;-3,071
153,18;0,01;0;153,18;-3,071
153,23;0,01;0;153,23;-3,071
153,28;0,01;0;153,28;-3,071
153,33;0,01;0;153,33;-3,071
153,38;0,01;0;153,38;-3,071
153,43;0,01;0;153,43;-3,071
153,48;0,01;0;153,48;-3,071
153,53;0,01;0;153,53;-3,071
153,58;0,01;0;153,58;-3,071
153,63;0,01;0;153,63;-3,071
153,68;0,01;0;153,68;-3,071
153,73;0,01;0;153,73;-3,071
153,78;0,01;0;153,78;-3,071
153,83;0,01;0;153,83;-3,071
153,88;0,01;0;153,88;-3,071
153,93;0,01;0;153,93;-3,071
153,98;0,01;0;153,98;-3,071
154,03;0,01;0;154,03;-3,071
154,08;0,01;0;154,08;-3,071
154,13;0,01;0;154,13;-3,071
154,18;0,01;0;154,18;-3,071
154,23;0,01;0;154,23;-3,071
154,28;0,01;0;154,28;-3,071
154,33;0,01;0;154,33;-3,071
154,38;0,01;0;154,38;-3,071
154,43;0,01;0;154,43;-3,071
154,48;0,01;0;154,48;-3,071
154,53;0,01;0;154,53;-3,071
154,58;0,01;0;154,58;-3,071
154,63;0,01;0;154,63;-3,071
154,68;0,01;0;154,68;-3,071
154,73;0,01;0;154,73;-3,071
154,78;0,01;0;154,78;-3,071
154,83;0,01;0;154,83;-3,071
154,88;0,01;0;154,88;-3,071
154,93;0,01;0;154,93;-3,071
154,98;0,01;0;154,98;-3,071
155,03;0,01;0;155,03;-3,071
155,08;0,01;0;155,08;-3,071
155,13;0,01;0;155,13;-3,071
155,18;0,01;0;155,18;-3,071
155,23;0,01;0;155,23;-3,071
155,28;0,01;0;155,28;-3,071
155,33;0,01;0;155,33;-3,071
155,38;0,01;0;155,38;-3,071
155,43;0,01;0;155,43;-3,071
155,48;0,01;0;155,48;-3,071
155,53;0,01;0;155,53;-3,071
155,58;0,01;0;155,58;-3,071
155,63;0,01;0;155,63;-3,071
155,68;0,01;0;155,68;-3,071
155,73;0,01;0;155,73;-3,071
155,78;0,01;0;155,78;-3,071
155,83;0,01;0;155,83;-3,071
155,88;0,01;0;155,88;-3,071
155,93;0,01;0;155,93;-3,071
155,98;0,01;0;155,98;-3,071
156,03;0,01;0;156,03;-3,071
156,08;0,01;0;156,08;-3,071
156,13;0,01;0;156,13;-3,071
156,18;0,01;0;156,18;-3,071
156,23;0,01;0;156,23;-3,071
156,28;0,01;0;156,28;-3,071
156,33;0,01;0;156,33;-3,071
156,38;0,01;0;156,38;-3,071
156,43;0,01;0;156,43;-3,071
156,48;0,01;0;156,48;-3,071
156,53;0,01;0;156,53;-3,071
156,58;0,01;0;156,58;-3,071
156,63;0,01;0;156,63;-3,071
156,68;0,01;0;156,68;-3,071
156,73;0,01;0;156,73;-3,071
156,78;0,01;0;156,78;-3,071
156,83;0,01;0;156,83;-3,071
156,88;0,01;0;156,88;-3,071
156,93;0,01;0;156,93;-3,071
156,98;0,01;0;156,98;-3,071
157,03;0,01;0;157,03;-3,071
157,08;0,01;0;157,08;-3,071
157,13;0,01;0;157,13;-3,071
157,18;0,01;0;157,18;-3,071
157,23;0,01;0;157,23;-3,071
157,28;0,01;0;157,28;-3,071
157,33;0,01;0;157,33;-3,071
157,38;0,01;0;157,38;-3,071
157,43;0,01;0;157,43;-3,071
157,48;0,01;0;157,48;-3,071
157,53;0,01;0;157,53;-3,071
157,58;0,01;0;157,58;-3,071
157,63;0,01;0;157,63;-3,071
157,68;0,01;0;157,68;-3,071
157,73;0,01;0;157,73;-3,071
157,78;0,01;0;157,78;-3,071
157,83;0,01;0;157,83;-3,071
157,88;0,01;0;157,88;-3,071
157,93;0,01;0;157,93;-3,071
157,98;0,01;0;157,98;-3,071
158,03;0,01;0;158,03;-3,071
158,08;0,01;0;158,08;-3,071
158,13;0,01;0;158,13;-3,071
158,18;0,01;0;158,18;-3,071
158,23;0,01;0;158,23;-3,071
158,28;0,01;0;158,28;-3,071
158,33;0,01;0;158,33;-3,071
158,38;0,01;0;158,38;-3,071
158,43;0,01;0;158,43;-3,071
158,48;0,01;0;158,48;-3,071
158,53;0,01;0;158,53;-3,071
158,58;0,01;0;158,58;-3,071
158,63;0,01;0;158,63;-3,071
158,68;0,01;0;158,68;-3,071
158,73;0,01;0;158,73;-3,071
158,78;0,01;0;158,78;-3,071
158,83;0,01;0;158,83;-3,071
158,88;0,01;0;158,88;-3,071
158,93;0,01;0;158,93;-3,071
158,98;0,01;0;158,98;-3,071
159,03;0,01;0;159,03;-3,071
159,08;0,01;0;159,08;-3,071
159,13;0,01;0;159,13;-3,071
159,18;0,01;0;159,18;-3,071
159,23;0,01;0;159,23;-3,071
159,28;0,01;0;159,28;-3,071
159,33;0,01;0;159,33;-3,071
159,38;0,01;0;159,38;-3,071
159,43;0,01;0;159,43;-3,071
159,48;0,01;0;159,48;-3,071
159,53;0,01;0;159,53;-3,071
159,58;0,01;0;159,58;-3,071
159,63;0,01;0;159,63;-3,071
159,68;0,01;0;159,68;-3,071
159,73;0,01;0;159,73;-3,071
159,78;0,01;0;159,78;-3,071
159,83;0,01;0;159,83;-3,071
159,88;0,01;0;159,88;-3,071
159,93;0,01;0;159,93;-3,071
159,98;0,01;0;159,98;-3,071
160,03;0,01;0;160,03;-3,071
160,08;0,01;0;160,08;-3,071
160,13;0,01;0;160,13;-3,071
160,18;0,01;0;160,18;-3,071
160,23;0,01;0;160,23;-3,071
160,28;0,01;0;160,28;-3,071
